sub_category,median_reviews_nov,occurrence_count,prop_nov_years,cluster,median_reviews_nov_scaled,occurrence_count_scaled,cluster_label
Chocolate,4.812184355372417,1,0.0625,3,2.307368496208243,-1.0511533309952017,0
Kites & Flight Toys,4.605170185988092,3,0.1875,3,2.1253614505283385,-0.14204774743178403,0
Garden Tools,4.110873864173311,1,0.0625,3,1.6907756755955652,-1.0511533309952017,0
Blackboards,3.970291913552122,1,0.0625,3,1.5671758969689227,-1.0511533309952017,0
Schoolbags & Backpacks,3.5263605246161616,1,0.0625,3,1.1768710167517302,-1.0511533309952017,0
Accessories,4.406719247264253,7,0.4375,6,1.9508832050200653,1.6761634196950514,1
Star Wars,3.912023005428146,7,0.4375,6,1.5159458200414364,1.6761634196950514,1
Unknown,3.8127975360662267,8,0.5,6,1.4287066972873,2.13071621147676,1
Card Games,3.8066624897703196,7,0.4375,6,1.423312759013662,1.6761634196950514,1
Hasbro,3.7587604253015154,6,0.375,6,1.381197220440313,1.2216106279133425,1
Toy Vehicles & Accessories,3.699393137709974,8,0.5,6,1.3290014472876763,2.13071621147676,1
Children's Craft Kits,3.5211430859698716,6,0.375,6,1.1722838399567717,1.2216106279133425,1
Science Fiction & Fantasy,3.5047044663543185,6,0.375,6,1.1578309906654367,1.2216106279133425,1
Disney,4.007333185232471,5,0.3125,7,1.599742616661674,0.7670578361316337,2
Toy Trains & Accessories,3.6375861597263857,5,0.3125,7,1.274660696127251,0.7670578361316337,2
"Banners, Stickers & Confetti",3.5773076784568314,4,0.25,7,1.221663800665593,0.3125050443499248,2
Colouring Pens & Markers,3.4011973816621555,3,0.1875,7,1.0668274678254843,-0.14204774743178403,2
Trivia & Quiz Games,3.4011973816621555,3,0.1875,7,1.0668274678254843,-0.14204774743178403,2
Dice & Dice Games,3.1883634739493134,4,0.25,7,0.8797037029231535,0.3125050443499248,2
Jigsaws,3.1780538303479458,5,0.3125,7,0.8706394549082553,0.7670578361316337,2
Decorations,2.995732273553991,5,0.3125,7,0.7103421766373061,0.7670578361316337,2
Costumes,2.9444389791664403,5,0.3125,7,0.6652450656403495,0.7670578361316337,2
Paper & Stickers,2.8173948015846246,6,0.375,2,0.5535477093614599,1.2216106279133425,3
Educational Games,2.4849066497880004,7,0.4375,2,0.26122382442135383,1.6761634196950514,3
Hand Puppets,2.4849066497880004,7,0.4375,2,0.26122382442135383,1.6761634196950514,3
Model Trains & Railway Sets,2.4849066497880004,5,0.3125,2,0.26122382442135383,0.7670578361316337,3
Trading Cards & Accessories,2.3937458713910233,8,0.5,2,0.18107518528587963,2.13071621147676,3
Dominoes & Tile Games,2.2975599250672953,6,0.375,2,0.09650841394663649,1.2216106279133425,3
Collectible Figures & Memorabilia,2.0794415416798357,5,0.3125,2,-0.09526146676682429,0.7670578361316337,3
Pirates,1.9459101490553132,7,0.4375,2,-0.21266238840128765,1.6761634196950514,3
"Slot Cars, Race Tracks & Accessories",1.9459101490553132,6,0.375,2,-0.21266238840128765,1.2216106279133425,3
Ravensburger,1.9356005054539454,6,0.375,2,-0.22172663641618598,1.2216106279133425,3
Crayola,2.6390573296152584,3,0.1875,0,0.39675324208561363,-0.14204774743178403,4
Soft Dolls,2.4414009612931853,4,0.25,0,0.22297358359599778,0.3125050443499248,4
Thomas & Friends,2.3978952727983707,3,0.1875,0,0.18472334277064215,-0.14204774743178403,4
Chess,2.1242476210246792,4,0.25,0,-0.05586792112544161,0.3125050443499248,4
Beach Toys,2.0794415416798357,3,0.1875,0,-0.09526146676682429,-0.14204774743178403,4
Dolls' House Dolls & Accessories,1.9560115027140732,4,0.25,0,-0.20378126909304572,0.3125050443499248,4
Art Sand,1.9459101490553132,3,0.1875,0,-0.21266238840128765,-0.14204774743178403,4
Shops & Accessories,1.791759469228055,3,0.1875,0,-0.34819180606554767,-0.14204774743178403,4
VTech,2.995732273553991,1,0.0625,5,0.7103421766373061,-1.0511533309952017,5
DVD Games,2.6390573296152584,1,0.0625,5,0.39675324208561363,-1.0511533309952017,5
Brain Teasers,2.4849066497880004,1,0.0625,5,0.26122382442135383,-1.0511533309952017,5
Model Building Kits,2.452637389219215,2,0.125,5,0.2328526612306066,-0.5966005392134929,5
Rockers & Ride-ons,2.3978952727983707,1,0.0625,5,0.18472334277064215,-1.0511533309952017,5
Farm & Animals,2.1972245773362196,1,0.0625,5,0.008293485122630452,-1.0511533309952017,5
Playsets,2.0794415416798357,1,0.0625,5,-0.09526146676682429,-1.0511533309952017,5
Party Tableware,1.791759469228055,1,0.0625,5,-0.34819180606554767,-1.0511533309952017,5
Finger Puppets,1.6479184330021646,2,0.125,5,-0.47465697571490933,-0.5966005392134929,5
Barbie,1.6094379124341003,1,0.0625,5,-0.5084890843364966,-1.0511533309952017,5
Seasonal Décor,1.6094379124341003,1,0.0625,5,-0.5084890843364966,-1.0511533309952017,5
Specialty & Decorative Lighting,1.6094379124341003,1,0.0625,5,-0.5084890843364966,-1.0511533309952017,5
Knights & Castles,1.6094379124341003,5,0.3125,4,-0.5084890843364966,0.7670578361316337,6
3-D Puzzles,1.5890269151739727,4,0.25,4,-0.5264344516596368,0.3125050443499248,6
Dinosaurs,1.3862943611198906,3,0.1875,4,-0.7046770972537256,-0.14204774743178403,6
Remote Controlled Devices,1.0986122886681098,5,0.3125,4,-0.957607436552449,0.7670578361316337,6
Cowboys & Indians,1.0986122886681098,3,0.1875,4,-0.957607436552449,-0.14204774743178403,6
Harry Potter,0.6931471805599453,5,0.3125,4,-1.314092727740627,0.7670578361316337,6
Spinning Tops,0.6931471805599453,4,0.25,4,-1.314092727740627,0.3125050443499248,6
"Sorting, Stacking & Plugging Toys",0.6931471805599453,3,0.1875,4,-1.314092727740627,-0.14204774743178403,6
Pens & Refills,1.3862943611198906,1,0.0625,1,-0.7046770972537256,-1.0511533309952017,7
Board Games,1.3195286648076292,2,0.125,1,-0.7633775580709574,-0.5966005392134929,7
Painting By Numbers,1.2424533248940002,2,0.125,1,-0.8311422669030872,-0.5966005392134929,7
Sound Toys,1.1512925464970227,2,0.125,1,-0.9112909060385619,-0.5966005392134929,7
Toy Story,1.0986122886681098,2,0.125,1,-0.957607436552449,-0.5966005392134929,7
Erotic Clothing,1.0986122886681098,1,0.0625,1,-0.957607436552449,-1.0511533309952017,7
LeapFrog,1.0986122886681098,1,0.0625,1,-0.957607436552449,-1.0511533309952017,7
Sport,1.0986122886681098,1,0.0625,1,-0.957607436552449,-1.0511533309952017,7
Toy Vehicle Playsets,1.0986122886681098,1,0.0625,1,-0.957607436552449,-1.0511533309952017,7
Invitations,0.8958797346140275,2,0.125,1,-1.135850082146538,-0.5966005392134929,7
Tomy,0.8958797346140275,2,0.125,1,-1.135850082146538,-0.5966005392134929,7
Action Man,0.6931471805599453,2,0.125,1,-1.314092727740627,-0.5966005392134929,7
Colouring Pencils,0.6931471805599453,2,0.125,1,-1.314092727740627,-0.5966005392134929,7
Casino Equipment,0.6931471805599453,1,0.0625,1,-1.314092727740627,-1.0511533309952017,7
Fashion Dolls & Accessories,0.6931471805599453,1,0.0625,1,-1.314092727740627,-1.0511533309952017,7
"Labels, Index Dividers & Stamps",0.6931471805599453,1,0.0625,1,-1.314092727740627,-1.0511533309952017,7
Military,0.6931471805599453,1,0.0625,1,-1.314092727740627,-1.0511533309952017,7
Rattles,0.6931471805599453,1,0.0625,1,-1.314092727740627,-1.0511533309952017,7
Rocking Horses,0.6931471805599453,1,0.0625,1,-1.314092727740627,-1.0511533309952017,7
WWE,0.6931471805599453,1,0.0625,1,-1.314092727740627,-1.0511533309952017,7
